filename,indicator_name,extension,embedded,gh_link
nautilus_trader/crates/indicators/src/python/volatility/rvi.rs,rvi,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/volatility/rvi.rs
nautilus_trader/crates/indicators/src/python/volatility/kc.rs,kc,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/volatility/kc.rs
nautilus_trader/crates/indicators/src/python/volatility/kp.rs,kp,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/volatility/kp.rs
nautilus_trader/crates/indicators/src/python/volatility/vr.rs,vr,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/volatility/vr.rs
nautilus_trader/crates/indicators/src/python/ratio/efficiency_ratio.rs,efficiency_ratio,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/ratio/efficiency_ratio.rs
nautilus_trader/crates/indicators/src/python/ratio/mod.rs,mod,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/ratio/mod.rs
nautilus_trader/crates/indicators/src/python/ratio/spread_analyzer.rs,spread_analyzer,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/ratio/spread_analyzer.rs
nautilus_trader/crates/indicators/src/python/mod.rs,mod,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/mod.rs
nautilus_trader/crates/indicators/src/python/book/imbalance.rs,imbalance,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/book/imbalance.rs
nautilus_trader/crates/indicators/src/python/book/mod.rs,mod,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/book/mod.rs
nautilus_trader/crates/indicators/src/python/average/vidya.rs,vidya,rust,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/crates/indicators/src/python/average/vidya.rs
